model,category,semantic_name,raw_name,default,value,min,max,interpretation
DJI Lito X1,"IMU, compass & calibration controls",imu0.vel_ground_z,imu0.vel_ground_z,0,-0.000963545,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.acc_ground_x,imu1.acc_ground_x,0,-0.0250482,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.acc_ground_y,imu1.acc_ground_y,0,-0.00285884,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.acc_ground_z,imu1.acc_ground_z,0,0.00332069,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.alti,imu1.alti,0,231.027,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.mx,imu1.mx,0,673,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.my,imu1.my,0,-52,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.mz,imu1.mz,0,1297,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.press_alti,imu1.press_alti,0,231.196,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.q[0],imu1.q[0],0,0.996637,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.q[1],imu1.q[1],0,-0.00408143,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.q[2],imu1.q[2],0,0.024065,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.q[3],imu1.q[3],0,0.0782265,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.temperature[0],imu1.temperature[0],0,2862,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.temperature[1],imu1.temperature[1],0,500,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.temperature[2],imu1.temperature[2],0,2996,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.vel_ground_x,imu1.vel_ground_x,0,-0.0161658,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.vel_ground_y,imu1.vel_ground_y,0,-0.00241109,0,0,runtime_or_read_only
DJI Lito X1,"IMU, compass & calibration controls",imu1.vel_ground_z,imu1.vel_ground_z,0,9.40595e-05,0,0,runtime_or_read_only
DJI Lito X1,Per-aircraft calibration & bias state,imu_cali_0.acc_gyro[0].gyro_temp,imu_cali_0.acc_gyro[0].gyro_temp,0,28.6232,0,0,runtime_or_read_only
DJI Lito X1,"RC, radio, lights & interfaces",rc_sbus_0_A_roll,rc_sbus_0_A_roll,0,1024,0,0,runtime_or_read_only
DJI Lito X1,"RC, radio, lights & interfaces",rc_sbus_1_E_pitch,rc_sbus_1_E_pitch,0,1024,0,0,runtime_or_read_only
DJI Lito X1,"RC, radio, lights & interfaces",rc_sbus_2_T_throttle,rc_sbus_2_T_throttle,0,1024,0,0,runtime_or_read_only
DJI Lito X1,"RC, radio, lights & interfaces",rc_sbus_3_R_yaw,rc_sbus_3_R_yaw,0,1024,0,0,runtime_or_read_only
DJI Lito X1,"RC, radio, lights & interfaces",rc_sbus_6_mode,rc_sbus_6_mode,0,1024,0,0,runtime_or_read_only
DJI Lito X1,"RC, radio, lights & interfaces",rc_sbus_app_connected,rc_sbus_app_connected,0,1,0,0,runtime_or_read_only
DJI Lito X1,"RTH, takeoff, landing & failsafe",rc_sbus_failsafe,rc_sbus_failsafe,0,1,0,0,runtime_or_read_only
DJI Lito X1,"RC, radio, lights & interfaces",rc_sbus_packet_cnt,rc_sbus_packet_cnt,0,5142,0,0,runtime_or_read_only
DJI Lito X1,"RC, radio, lights & interfaces",rc_sbus_send_id,rc_sbus_send_id,0,14,0,0,runtime_or_read_only
DJI Lito X1,"Obstacle sensing, vision & terrain",user_all_avoid_enable,user_all_avoid_enable,1,0,0,2,configuration_or_persistent_state
