model,category,parameter_count,unique_parameter_count
DJI Lito X1,Gimbal & camera,6,0
DJI Lito X1,"IMU, compass & calibration controls",161,0
DJI Lito X1,"Motors, ESC & propulsion",31,1
DJI Lito X1,"Navigation, GNSS & positioning",65,1
DJI Lito X1,"Obstacle sensing, vision & terrain",32,0
DJI Lito X1,Other / opaque internal,124,4
DJI Lito X1,Per-aircraft calibration & bias state,45,0
DJI Lito X1,"RC, radio, lights & interfaces",31,1
DJI Lito X1,"RTH, takeoff, landing & failsafe",39,0
DJI Lito X1,Sensor installation geometry (model),57,0
DJI Lito X1,"Stabilization, gains & filters",151,7
